source_aits_name,sentence,L1
100_Department_of_Veterans_Affairs,Defence Publications & Transition seminars.,EMPTY
100_Department_of_Veterans_Affairs,Advocacy Training and Development Program (ATDP) newsroom articles.,EMPTY
100_Department_of_Veterans_Affairs,Deputy Commissioner mailing lists (State Ex Service Organisations (ESOs) and fee-for-service advocates).,Contact
100_Department_of_Veterans_Affairs,National Consultation Framework (National ESOs) comprising Ex-Service Organisation Round Table (ESORT) Female Veterans Families Forum (FVFF) National Aged and Community Care Forum (NACCF) Operational Working Party (OWP) Younger Veterans - Contemporary Needs Forum (YVF).,EMPTY
100_Department_of_Veterans_Affairs,"DVA adopts the Organisation for Economic Co-operation and Development (OECD) definition in our consideration and discussion of AI.An AI system is a machine-based system that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.",Definition of AI
100_Department_of_Veterans_Affairs,Different AI systems vary in their autonomy and adaptiveness after deployment.,AI usage patterns
100_Department_of_Veterans_Affairs,"AI at DVA is used primarily in analytics for insights across service delivery and corporate and enabling domains, although this is evolving.",AI usage domains
100_Department_of_Veterans_Affairs,DVA will monitor usage to assure ongoing suitability of these technologies for these purposes.,Monitoring measures
100_Department_of_Veterans_Affairs,"For more information about the usage of AI in government and the domains in which they apply, please see http://digital.gov.au/ai/resources/use-classification .",AI usage domains
100_Department_of_Veterans_Affairs,The department currently has AI technology deployed for: Statistical modelling and horizon scanning – this includes AI technology (Machine Learning algorithms) to support maintenance and enhancement of data modelling.,AI usage domains
100_Department_of_Veterans_Affairs,"Improving writing clarity – AI tool(s) support checking of spelling, grammar and punctuation.",AI usage patterns
100_Department_of_Veterans_Affairs,"AI-enabled website search on the DVA website, to improve access to publicly available information.",AI usage patterns
100_Department_of_Veterans_Affairs,The search function only has access to publicly available information.,Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,DVA is also testing and trialling AI tools.,AI usage patterns
100_Department_of_Veterans_Affairs,"A trial of Microsoft Copilot is underway, consistent with trials by other Australian Government Departments.",Update
100_Department_of_Veterans_Affairs,"DVA is accessing the Commonwealth whole of government GovAI environment, including to evaluate potential AI tools, which may support DVA employees to speed up claims processing.",AI usage domains
100_Department_of_Veterans_Affairs,Current testing on the GovAI technology platform does not use veteran personal data.,Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"DVA is trialling an AI tool CLIKChat to help staff quickly find and summarise information from our external websites (Consolidated Library of Information and Knowledge, Department of Veterans Affairs and Repatriation Medical Authority).",AI usage domains
100_Department_of_Veterans_Affairs,"CLIKChat uses publicly available information, it does not access veteran records or personal data.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,It does not make decisions or give recommendations.,AI usage patterns
100_Department_of_Veterans_Affairs,All information from CLIKChat is checked by staff with human judgement always in control.,Monitoring measures
100_Department_of_Veterans_Affairs,"DVA also expects the underpinning technology in our digital ecosystem to become increasingly sophisticated, including by leveraging AI.",General introduction
100_Department_of_Veterans_Affairs,Periodic updates will be made to this statement to report on progress.,Update
100_Department_of_Veterans_Affairs,"As the community would expect, DVA computer systems support employees and decision-makers with basic validation and task management, which can include some basic automation.",AI usage patterns
100_Department_of_Veterans_Affairs,These types of activities are governed by other arrangements and are outside the scope of the Policy for the responsible use of AI in government .,Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,DVA does make use of basic computer-assisted task management to support the efficiency of its service delivery and decision-making processes in line with general principles of administrative decision-making.,AI usage patterns
100_Department_of_Veterans_Affairs,DVA does not and will not use AI to make decisions without appropriate human oversight - ‘human in the loop’ is a guiding principle.,Monitoring measures
100_Department_of_Veterans_Affairs,"As part of our adoption of AI technology, we are ensuring compliance with all relevant legislation, including the Archives Act 1983 (Cth), Freedom of Information Act 1982 (Cth), and the Privacy Act 1988 (Cth), DVA’s Privacy Policy , and compliance with relevant Veterans’ Affairs law.",Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,"For more information about the laws relevant to support for veterans and their families, please visit our website .",EMPTY
100_Department_of_Veterans_Affairs,"For additional detail about all legislation administered by the department, please visit the Federal Register of Legislation .",Contact
100_Department_of_Veterans_Affairs,The department is compliant with the mandatory requirements of the Policy for the responsible use of AI in government : A DVA AI Accountable Official was designated in October 2024.,Compliance with AI regulations and policies
100_Department_of_Veterans_Affairs,This AI Transparency Statement was first published on dva.gov.au in February 2025.,Update
100_Department_of_Veterans_Affairs,We will be reviewing and updating this statement annually or when significant changes occur within our adoption of AI technology.,Update
100_Department_of_Veterans_Affairs,"For enquiries about the DVA AI Transparency Statement or about our adoption and usage of AI, please contact us at AI@dva.gov.au .",Contact
101_Department_of_Parliamentary_Services,The Department of Parliamentary Services (DPS) is committed to the responsible and ethical use of Artificial Intelligence (AI) technologies.,General introduction
101_Department_of_Parliamentary_Services,"This AI transparency statement outlines DPS' approach to AI, including: intentions behind DPS AI use.",Intention of AI
101_Department_of_Parliamentary_Services,"classification of DPS AI use, including where AI interacts with or impacts the public.",AI usage domains
101_Department_of_Parliamentary_Services,measures to monitor the effectiveness of DPS AI use.,Monitoring measures
101_Department_of_Parliamentary_Services,compliance with the DTA policy for the responsible use of AI in Government.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"DPS efforts to identify and protect the public against negative impacts, and.",Impact to the public
101_Department_of_Parliamentary_Services,when the DPS AI transparency statement was last updated.,Update
101_Department_of_Parliamentary_Services,"DPS is the ICT service provider to the Parliament, the parliamentary departments and Parliamentary Workplace Support Service (PWSS).",General introduction
101_Department_of_Parliamentary_Services,"As such, DPS plays a central role in ensuring the responsible and ethical use of Artificial Intelligence (AI) technologies within the Parliament.",Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"To foster an environment where the use of AI can provide support to staff and clients, DPS is committed to continuous learning and adaptation, making sure that its AI strategies evolve alongside the changing needs of the Parliament, technological advancements and legislation or regulatory changes.",Update
101_Department_of_Parliamentary_Services,DPS’ integration of AI into its operations and the operations of the Parliament is guided by: Australia’s AI ethics principles.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,DTA policy for the responsible use of AI in government.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,relevant legislation and regulations.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"relevant frameworks, and.",EMPTY
101_Department_of_Parliamentary_Services,relevant learnings and outcomes from trials or implementations of AI within the commonwealth or other relevant organisations.,Update
101_Department_of_Parliamentary_Services,DPS’ approach to the adoption of AI is designed to: align with the Parliament of Australia Digital Strategy 2023-2027.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,meet DPS clients and staff expectations for modern ICT experiences.,Intention of AI
101_Department_of_Parliamentary_Services,reduce the risk associated with the use of AI by the Parliament.,Monitoring measures
101_Department_of_Parliamentary_Services,"support innovation and unlocking new value using AI, and.",Intention of AI
101_Department_of_Parliamentary_Services,support whole-of-government direction and policy on the use of AI.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,DPS has adopted the Organisation for Economic Cooperation and Development’s (OECD) definition of what constitutes artificial intelligence.,Definition of AI
101_Department_of_Parliamentary_Services,DPS is committed to being transparent about its use of AI.,General introduction
101_Department_of_Parliamentary_Services,"DPS will ensure it is obvious to individuals if: they are interacting with an AI system, such as an AI chatbot, or.",Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"the content is completely AI produced, without human review.",AI usage patterns
101_Department_of_Parliamentary_Services,"Table 1, below, shows DPS AI use based on the DTA classification system for AI.",AI usage domains
101_Department_of_Parliamentary_Services,Compliance and fraud detection.,AI usage domains
101_Department_of_Parliamentary_Services,Corporate and enabling.,EMPTY
101_Department_of_Parliamentary_Services,Scientific.Service delivery.Policy and legal.Analytics for insights.,AI usage domains
101_Department_of_Parliamentary_Services,Decision making and administrative action.,AI usage domains
101_Department_of_Parliamentary_Services,Image processing.,AI usage domains
101_Department_of_Parliamentary_Services,Workplace productivity.,AI usage domains
101_Department_of_Parliamentary_Services,Internal use.,AI usage patterns
101_Department_of_Parliamentary_Services,Internal use.,EMPTY
101_Department_of_Parliamentary_Services,Internal use.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,Internal use.,EMPTY
101_Department_of_Parliamentary_Services,Internal use.,EMPTY
101_Department_of_Parliamentary_Services,Internal use.,AI usage patterns
101_Department_of_Parliamentary_Services,Internal use.,EMPTY
101_Department_of_Parliamentary_Services,Public facing and internal use.,AI usage patterns
101_Department_of_Parliamentary_Services,Table 1 - DPS AI use classification.,AI usage patterns
101_Department_of_Parliamentary_Services,"Under the Strategic Framework for the Parliamentary Service (Strategic Framework), the parliamentary departments are committed to enhance engagement in the work of the Parliament.",General introduction
101_Department_of_Parliamentary_Services,"As part of meeting this commitment, DPS employs AI as part of assistive technologies to make engagement with the work of the Parliament more accessible; DPS uses AI to generate captions and support website accessibility.",AI usage patterns
101_Department_of_Parliamentary_Services,The parliamentary departments and PWSS intend to meet the requirements under the DTA responsible use of AI for Government policy through a shared responsibility model.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"The shared responsibility model recognises: each organisation is independent, but share a common service provider, DPS, who provides the core ICT services for the Parliament, and.",General introduction
101_Department_of_Parliamentary_Services,"the use of AI by an individual or group within the Parliament may impact other individuals, groups, organisations or the Parliament as a whole; therefore, collaboration is essential.",Impact to the public
101_Department_of_Parliamentary_Services,"The shared responsibility model is managed by an AI working group composed of one or more representatives from each organisation, and coordinated by DPS ICT.",Monitoring measures
101_Department_of_Parliamentary_Services,The AI working group is responsible for: meeting DTA AI policy requirements.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"building AI maturity and align to relevant best practice, legislation, regulation and whole-of-government direction and policy.",Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"maintaining a central register of AI use cases for the Parliament, and.",Monitoring measures
101_Department_of_Parliamentary_Services,managing the Parliaments shared responsibility model for AI.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,DPS uses AI training to support staff and clients to use AI safely and responsibly.,AI usage patterns
101_Department_of_Parliamentary_Services,DPS has configured a caution splash screen to remind users to consider the relevant DTA AI guidance when using public generative AI tools.,Monitoring measures
101_Department_of_Parliamentary_Services,DPS employs the Australian Government AI assurance framework to support the safe and ethical use of AI.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"DPS monitors, logs and reports on the use of: DPS managed AI solutions, and.",Monitoring measures
101_Department_of_Parliamentary_Services,third-party AI used by the Parliament.,AI usage domains
101_Department_of_Parliamentary_Services,Any users of Parliamentary ICT resources that wish to adopt and use AI are required to: report new AI use cases or requests to use AI to DPS ICT service desk.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,notify DPS ICT and following departmental approval and change management processes before using AI.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,undertake testing to evaluate whether AI is suitable for the intended use case.,Monitoring measures
101_Department_of_Parliamentary_Services,"monitor and assess the value and effectiveness of adopted AI solutions against their use case, and adjust as necessary.",Monitoring measures
101_Department_of_Parliamentary_Services,maintain legal and regulatory compliance.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"report unintended outcomes, faults or negative impacts from AI use to DPS ICT service desk, and.",Contact
101_Department_of_Parliamentary_Services,report if sensitive information is inadvertently entered into generative AI tools or services to DPS Cyber Security.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"The DPS CIO was appointed as the DPS accountable official on 30 September 2024, following the DTA standard for accountable officials .",Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,The DPS CIO is accountable for: implementation of the DTA policy for the responsible use of AI in the Parliament.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,reporting new high-risk use cases identified by DPS to the DTA via email to ai@dta.gov.au.,Contact
101_Department_of_Parliamentary_Services,acting as the DPS contact point for whole-of-government coordination.,Contact
101_Department_of_Parliamentary_Services,engaging with whole-of-government AI forums and processes.,AI usage patterns
101_Department_of_Parliamentary_Services,"keeping up to date with changing requirements, and.",Update
101_Department_of_Parliamentary_Services,driving engagement with AI training by DPS staff and within Parliamentarian’s offices.,AI usage patterns
101_Department_of_Parliamentary_Services,"AI fundamentals training has been made available to the staff of the parliamentary departments, parliamentarians and their staff and the PWSS.",AI usage patterns
101_Department_of_Parliamentary_Services,The ongoing training and education requirements will be coordinated by the parliamentary departments and PWSS AI working group.,Monitoring measures
101_Department_of_Parliamentary_Services,This transparency statement will be reviewed annually or when significant changes to the use or governance of AI use occur.,Update
101_Department_of_Parliamentary_Services,This statement was last updated on 21 February 2025.,Update
101_Department_of_Parliamentary_Services,"To enquire about AI and its use within the Parliament, please contact DPS ICT service desk .",Contact
102_Department_of_the_House_of_Representatives,The Department of the House of Representatives (DHR) is committed to the responsible and ethical use of Artificial Intelligence (AI) technologies.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,DHR uses ICT provided by the Department of Parliamentary Services (DPS) under a memorandum of understanding.,AI usage patterns
102_Department_of_the_House_of_Representatives,"The DPS AI Transparency Statement states its commitment to responsible and ethical use of AI technologies, and this Transparency Statement should be read in conjunction with the DPS statement, the broader Commonwealth direction, and the Parliament of Australia Digital Strategy 2023-2027.",Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,"DPS is the ICT service provider to the Parliament, the parliamentary departments and Parliamentary Workplace Support Service (PWSS).",General introduction
101_Department_of_Parliamentary_Services,"As such, DPS plays a central role in ensuring the responsible and ethical use of Artificial Intelligence (AI) technologies within the Parliament.",Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,"The DPS Transparency Statement outlines its commitment to continuous learning and adaptation and making sure that its AI strategies evolve alongside the changing needs of the Parliament, technological advancements, and legislation or regulatory changes.",Update
102_Department_of_the_House_of_Representatives,DHR will work alongside DPS in this commitment.,EMPTY
102_Department_of_the_House_of_Representatives,The integration of AI into its operations and the operations of the Parliament is guided by: Australia’s AI ethics principles.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,DTA policy for the responsible use of AI in government.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,relevant legislation and regulations.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,relevant learnings and outcomes from trials or implementation of AI within the commonwealth or other relevant organisations.,Update
102_Department_of_the_House_of_Representatives,The Parliament’s approach to the adoption of AI is designed to: align with the Parliament of Australia's Digital Strategy.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,meet client and staff expectations for modern ICT experiences.,Intention of AI
101_Department_of_Parliamentary_Services,reduce the risk associated with the use of AI by the Parliament.,Monitoring measures
102_Department_of_the_House_of_Representatives,support experimentation: to better understand the benefits and risks of using AI.,Intention of AI
102_Department_of_the_House_of_Representatives,"to support innovation and unlocking new value using AI, and.",Intention of AI
101_Department_of_Parliamentary_Services,support whole-of-government direction and policy on the use of AI.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,DHR currently has relatively limited use of AI technologies.,AI usage domains
102_Department_of_the_House_of_Representatives,"Use cases are confined to assistance with administrative tasks, drafting and research support, and document/meeting summarisation.",AI usage domains
102_Department_of_the_House_of_Representatives,All outputs are subject to comprehensive human review.,Monitoring measures
102_Department_of_the_House_of_Representatives,Microsoft Copilot Chat is the recommended generative AI tool on the parliamentary computing network for these tasks.,AI usage domains
102_Department_of_the_House_of_Representatives,Copilot Chat comes with enterprise data protections.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,The DPS AI Transparency Statement outlines how AI is currently used more broadly across the Parliament.,General introduction
102_Department_of_the_House_of_Representatives,"DHR business areas that wish to implement new AI use cases beyond the general use cases mentioned above need to consult with the DHR Information Management Office, which will then seek advice from DPS and coordinate an assessment of the benefits, risks and costs.",Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,DHR is committed to being transparent about its use of AI.,General introduction
102_Department_of_the_House_of_Representatives,"As new use cases emerge, and are agreed on, DHR will ensure it is obvious to stakeholders if: they are interacting with an AI system, such as an AI chatbot; or they are viewing content that is completely or extensively AI produced, with minimal human review.",Monitoring measures
101_Department_of_Parliamentary_Services,The parliamentary departments and PWSS intend to meet the requirements under the DTA responsible use of AI for Government policy through a shared responsibility model.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,"The shared responsibility model recognises: each organisation is independent, but shares a common service provider, DPS, which provides the core ICT services and expertise for the Parliament; and the use of AI by an individual or group within the Parliament may impact other individuals, groups, organisations or the Parliament as a whole; therefore, collaboration is essential.",Impact to the public
102_Department_of_the_House_of_Representatives,The Parliament’s accountable officials have appointed an interorganisational AI working group which is responsible for: meeting DTA AI policy requirements.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,"building AI maturity within the Parliament, including aligning with relevant best practice, legislation, regulation and whole-of-government direction and policy.",Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,maintaining a central register of AI use cases for the Parliament; and managing the Parliament’s shared responsibility model for AI.,Monitoring measures
102_Department_of_the_House_of_Representatives,DPS employs the Commonwealth AI assurance framework to support the safe and ethical use of AI.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,"DPS monitors, logs and reports on the use of: DPS managed AI solutions; and third-party AI used by the Parliament.While DPS does monitor and log AI use, an important protection against inappropriate use of public generative AI tools is user discretion.",Monitoring measures
102_Department_of_the_House_of_Representatives,"As noted above, Microsoft Copilot is the recommended generative AI tool as it includes assurance about data protection.",Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,"For all other publicly available AI tools, DPS has configured a caution splash screen to remind users about the risks of AI.",Monitoring measures
102_Department_of_the_House_of_Representatives,This caution screen does not prevent access to public AI tools.,Monitoring measures
102_Department_of_the_House_of_Representatives,"Users must exercise careful judgement in the information shared with, and retrieved from, these services.",Impact to the public
102_Department_of_the_House_of_Representatives,"This includes not revealing personal, classified, sensitive or copyright-protected information.",Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,This is the same careful judgement that needs to be applied with any of the other information sharing tools that are available online.,EMPTY
102_Department_of_the_House_of_Representatives,The Director (Information and Content) is the DHR accountable official and is accountable for: implementation of the DTA Policy for the responsible use of AI in the Parliament.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,reporting new high-risk use cases identified by their agency to the DTA via email to ai@dta.gov.au.,Contact
102_Department_of_the_House_of_Representatives,acting as the agency's contact point for whole-of-government coordination.,Contact
101_Department_of_Parliamentary_Services,engaging with whole-of-government AI forums and processes.,AI usage patterns
102_Department_of_the_House_of_Representatives,keeping up to date with changing requirements; and driving engagement with AI training by DHR staff.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,The DTA AI fundamentals is now mandatory for DHR staff.,Compliance with AI regulations and policies
102_Department_of_the_House_of_Representatives,The ongoing training and education requirements will be coordinated by the Parliamentary Departments AI working group.,Monitoring measures
102_Department_of_the_House_of_Representatives,This statement will be reviewed annually or when significant changes to the use or governance of AI use occur.,Update
102_Department_of_the_House_of_Representatives,"To enquire about AI and its use within the Parliament, please contact DPS ICT service desk.",Contact
103_Department_of_the_Senate,This Transparency Statement is produced in accordance with the Digital Transformation Agency's Policy for responsible use of AI in government .,Compliance with AI regulations and policies
103_Department_of_the_Senate,"The Department of the Senate provides the secretariat to the Australian Senate – enabling its legislative and accountability activities – and to dozens of parliamentary committees, whose work encompasses the Senate's scrutiny functions and its exercise of Parliament's broad investigative powers.",General introduction
103_Department_of_the_Senate,We use ICT provided by the Department of Parliamentary Services under a memorandum of understanding.,EMPTY
103_Department_of_the_Senate,"DPS is committed to responsible and ethical use of AI technologies, and this Transparency Statement should be read in conjunction with the and the broader Commonwealth direction and .",Compliance with AI regulations and policies
103_Department_of_the_Senate,"We are committed to continuous learning and adaptation, and to using the best possible tools for our work supporting the Senate.",General introduction
103_Department_of_the_Senate,"We are conscious of the need for AI strategies to evolve alongside the changing needs of the Senate, technological advancements and legislative or regulatory changes.",Update
103_Department_of_the_Senate,"Many aspects of our work require reliable ICT systems that allow staff to receive, share, analyse, collaborate on, and publish information at scale.",General introduction
103_Department_of_the_Senate,"The advent of standalone AI products, and the introduction of AI functions into mainstream applications, will no doubt change how we approach some of these tasks.",Impact to the public
103_Department_of_the_Senate,"We are also conscious of the risks involved, particularly given the need to ensure the veracity of the material we produce.",Monitoring measures
103_Department_of_the_Senate,"For these reasons, we will be cautious in our adoption of AI tools and strategies in support of the department's aims.",Intention of AI
103_Department_of_the_Senate,"Like other non-corporate Commonwealth entities, our approach to the use of AI is guided by Australia's Artificial Intelligence Ethics Principles.",Compliance with AI regulations and policies
103_Department_of_the_Senate,DTA's Policy for responsible use of AI in government.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,Relevant legislation and regulations.,Compliance with AI regulations and policies
103_Department_of_the_Senate,"In line with the Digital Transformation Agency and Australian Government Architecture, and the Department's ICT provider, DPS, we have adopted the OECD definition of what constitutes artificial intelligence.",Definition of AI
103_Department_of_the_Senate,"We currently use AI on a limited basis via that embedded in Microsoft products available through the Parliamentary Computing Network, as provided by DPS.",AI usage patterns
103_Department_of_the_Senate,Non-Microsoft AI tools are available through the PCN via browsers accompanied by a splash screen warning users about the risks presented by AI.,Monitoring measures
103_Department_of_the_Senate,"From 1 January 2024 to 30 June 2024, we participated in the Australian Government's trials of a generative AI service, Microsoft 365 Copilot.",Update
103_Department_of_the_Senate,"In considering the use of AI tools in the future, we will have regard to best practice guidance, government ethical and legal frameworks, and consider the appropriateness of the use of AI in its work.",Compliance with AI regulations and policies
103_Department_of_the_Senate,"The table below shows the use, by the Department of the Senate, of AI based on the DTA classification system.",AI usage domains
103_Department_of_the_Senate,"Through DPS, we use AI as part of assistive technologies, specifically to generate captions and support website accessibility.",AI usage domains
101_Department_of_Parliamentary_Services,Service delivery.,AI usage domains
101_Department_of_Parliamentary_Services,Compliance and fraud detection.,AI usage domains
101_Department_of_Parliamentary_Services,Corporate and enabling.,EMPTY
103_Department_of_the_Senate,"Legal enforcement, intelligence and security.",AI usage domains
101_Department_of_Parliamentary_Services,Policy and legal.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,Scientific.,EMPTY
101_Department_of_Parliamentary_Services,Decision making and administrative action.,AI usage domains
101_Department_of_Parliamentary_Services,Analytics for insights.,AI usage patterns
101_Department_of_Parliamentary_Services,Workplace productivity.,AI usage domains
101_Department_of_Parliamentary_Services,Image processing.,AI usage domains
101_Department_of_Parliamentary_Services,Internal use.,Compliance with AI regulations and policies
101_Department_of_Parliamentary_Services,Internal use.,AI usage patterns
101_Department_of_Parliamentary_Services,Internal use.,AI usage patterns
101_Department_of_Parliamentary_Services,Internal use.,AI usage patterns
101_Department_of_Parliamentary_Services,Internal use.,EMPTY
103_Department_of_the_Senate,"We, in conjunction with the other parliamentary departments, will meet the requirements of DTA's policy for the responsible use of AI through a shared responsibility model.",Compliance with AI regulations and policies
103_Department_of_the_Senate,"This model recognises that: each organisation is independent, but shares a common service provider (DPS) who provides the core ICT services for the Parliament, and.",General introduction
101_Department_of_Parliamentary_Services,"the use of AI by an individual or group within the parliament may impact other individuals, groups, organisations or the parliament as a whole; therefore, collaboration is essential.",Impact to the public
103_Department_of_the_Senate,The shared responsibility model is managed by an AI working group composed of representatives from the parliamentary departments and coordinated by DPS ICT.,Monitoring measures
103_Department_of_the_Senate,"The AI working group is responsible for: meeting DTA requirements, building AI maturity, and.",Compliance with AI regulations and policies
103_Department_of_the_Senate,maintaining a central register of AI use cases for the parliamentary departments.,Monitoring measures
103_Department_of_the_Senate,The Department of the Senate does not currently use AI where the public may directly interact with or be significantly impacted by it.,Impact to the public
103_Department_of_the_Senate,The department endorses and supports DPS' use of the Commonwealth AI assurance framework to encourage the safe and ethical use of AI in the PCN environment.,Compliance with AI regulations and policies
103_Department_of_the_Senate,"On behalf of the parliamentary departments, DPS monitors, logs and reports on the use of DPS managed AI solutions and third-party AI.",Monitoring measures
103_Department_of_the_Senate,We have adopted a cautious approach to the implementation of AI tools and maintain a watching brief on AI developments and the public debate around its use.,Monitoring measures
103_Department_of_the_Senate,"Email and/or intranet updates are issued in response to AI developments that may pose a risk, such as the February 2025 requirement that DeepSeek not be used on government devices.",Update
103_Department_of_the_Senate,The risks raised by AI use are also addressed in our risk matrix which is regularly updated by the executive and provided to the external audit committee.,Monitoring measures
103_Department_of_the_Senate,"We will, through the Accountable Official and the working group, work with DPS to undertake all requirements of monitoring application use, undertaking testing, assessing the effectiveness of any applications, and monitoring for unintended outcomes from application use.",Monitoring measures
103_Department_of_the_Senate,"In partnership with DPS, we are committed to ensuring that any future use of AI by our staff will be supported with the appropriate training, including the ethical and legal considerations around the use of AI technology.",Compliance with AI regulations and policies
103_Department_of_the_Senate,"To this end, DPS will make AI fundamentals training available to the staff of the parliamentary departments.",AI usage patterns
